"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0752003V;;"Unité de formation et de recherche";"UFR Littérature française et comparée (Master)";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Sorbonne université";;"1 rue Victor Cousin";75005;Paris;75105;;"01 40 46 26 44/24 67";05;Paris;Paris;Ile-de-France;11;2.342604;48.848131;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9587
0133516B;;"Unité de formation et de recherche";"Faculté des sciences - Campus Aix Montperrin";FDS;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Aix-Marseille Université";;"6 avenue du Pigonnet";13090;Aix-en-Provence;13001;;"04 42 95 45 50";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.4393336;43.5178437;21/02/2018;21/02/2018;"Programme détaillé, lieux et horaires sur https://suio.univ-amu.fr/journees-portes-ouvertes-2018";www.onisep.fr/http/redirection/etablissement/identifiant/9656
0142402K;;"Unité de formation et de recherche";"UFR des Humanités et Sciences Sociales (HSS)";HSS;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Caen Normandie";"CS 14032";"Esplanade de la Paix";14032;Caen;14118;"Cedex 5";"02 31 56 66 31";;Calvados;Caen;Normandie;28;-0.365;49.189;10/02/2018;10/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/9698
0753664A;;"Unité de formation et de recherche";"Institut de préparation à l'administration générale";IPAG;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Panthéon-Assas";;"122 rue de Vaugirard";75006;Paris;75106;;"01 53 63 86 30";06;Paris;Paris;Ile-de-France;11;2.321523;48.845473;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9819
0932005Z;;"Unité de formation et de recherche";"UFR Droit";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Vincennes-Saint-Denis";;"2 rue de la Liberté";93200;Saint-Denis;93066;;"01 49 40 66 32";;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.36396;48.945249;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9871
0782076H;;"Unité de formation et de recherche";"Faculté de droit et de science politique";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Versailles Saint-Quentin-en-Yvelines";;"3 rue de la division Leclerc";78280;Guyancourt;78297;;"01 39 25 53 13";;Yvelines;Versailles;Ile-de-France;11;2.050154;48.785712;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9964
0752058E;;"Unité de formation et de recherche";"Département MSO (master des sciences des organisations)";MSO;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paris-Dauphine";;"Place du Maréchal de Lattre de Tassigny";75016;Paris;75116;;"01 44 05 41 65";16;Paris;Paris;Ile-de-France;11;2.274062;48.871557;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10030
0624054V;;"Unité de formation et de recherche";"UFR de Langues étrangères";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université d'Artois";"BP 10665";"9 rue du Temple";62030;Arras;62041;Cedex;"03 21 60 38 29 ou 03 21 60 38 98";;Pas-de-Calais;Lille;Hauts-de-France;32;2.7926022;50.2832827;10/02/2018;10/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/10325
9710731T;;"Unité de formation et de recherche";"UFR de sciences médicales Hyacinthe Bastaraud";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université des Antilles";"BP 145";"Campus de Fouillole";97154;Pointe-à-Pitre;97120;Cedex;"05 90 48 33 33";;Guadeloupe;Guadeloupe;Guadeloupe;1;-61.529998779297;16.236000061035;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10425
0341768M;;"Unité de formation et de recherche";"UFR des Sciences de Montpellier";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Montpellier";;"Place Eugène Bataillon";34095;Montpellier;34172;"Cedex 05";"04 67 14 30 30";;Hérault;Montpellier;Occitanie;76;3.8610052;43.6314038;10/03/2018;10/03/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/10499
0341136A;;"Unité de formation et de recherche";"UFR5 Faculté des sciences du sujet et de la société";"UFR5 UPVM3";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paul Valéry Montpellier 3";;"Route de Mende";34199;Montpellier;34172;"Cedex 05";"04 67 14 23 42";;Hérault;Montpellier;Occitanie;76;3.8663644;43.6368173;14/03/2018;14/03/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/10500
0596178V;;"Unité de formation et de recherche";"Institut de criminologie";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Lille";"CS 10629";"1 place Deliot";59024;Lille;59350;Cedex;"03 20 90 77 26";;Nord;Lille;Hauts-de-France;32;3.0686492;50.6197142;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10645
9740991J;;"Unité de formation et de recherche";"La maison des langues";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de La Réunion";"BP 7151";"15 avenue René Cassin";97715;Saint-Denis;97411;"Cedex 09";"02 62 93 83 05";;"La Réunion";"La Réunion";"La Réunion";4;55.4845995;-20.9018459;17/02/2018;17/02/2018;"de 9h à 13h";www.onisep.fr/http/redirection/etablissement/identifiant/10798
0921437M;;"Unité de formation et de recherche";"UFR de philosophie, information-communication, langages, littératures et arts du spectacle";"UFR PHILLIA";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paris Nanterre";;"200 avenue de la République";92001;Nanterre;92050;;"01 40 97 56 13";;Hauts-de-Seine;Versailles;Ile-de-France;11;2.208814;48.90474;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10918
